new_index,Pris,address,zipcode,m2,rooms
5327, 3.350.000, Søndergårds Allé 41,2760 Måløv,97,3
5328, 3.695.000, Roskildevej 114,2000 Frederiksberg,97,3
5329, 3.995.000, Linkøpingvej 5,4000 Roskilde,127,4
5330, 4.498.000, Banegårdsgade 25,8000 Aarhus C,114,4
5331, 4.650.000, Bykildevej 7,2500 Valby,98,3
5332, 648.000, Parkvej 164,4700 Næstved,48,2
5333, 715.000, Dr. Holsts Vej 32,8230 Åbyhøj,24,1
5334, 1.149.000, Arkildsdal 90,9400 Nørresundby,62,3
5335, 1.445.000, Gammelgårds Alle 17,2665 Vallensbæk Strand,49,2
5336, 1.745.000, Østerbrogade 12,9400 Nørresundby,100,3
5337, 2.348.000, Tousvej 83,8230 Åbyhøj,80,3
5338, 2.395.000, Egeparken 31C,2680 Solrød Strand,72,2
5339, 2.595.000, Ordrupvej 126A,2920 Charlottenlund,71,3
5340, 2.898.000, Nordborggade 51,8000 Aarhus C,103,4
5341, 2.995.000, Ordrupvej 41C,2920 Charlottenlund,57,2
5342, 2.995.000, Rasmus Rasks Vej 2,2500 Valby,63,2
5343, 2.995.000, Bryggervangen 16,2100 København Ø,62,2
5344, 3.495.000, Ane Katrines Vej 12,2000 Frederiksberg,62,2
5345, 3.525.000, Brysselgade 6,2300 København S,51,2
5346, 4.375.000, Stadionvej 84,2600 Glostrup,108,4
5347, 4.395.000, Smålandsgade 6,2300 København S,74,3
5348, 4.650.000, Victor Bendix Gade 20,2100 København Ø,83,3
5349, 4.849.000, Sønder Boulevard 36,1720 København V,109,3
5350, 7.995.000, Stockholmsgade 21,2100 København Ø,84,3
5351, 8.995.000, Helsinkigade 23,2150 Nordhavn,119,4
5352, 9.250.000, Martin Luther Kings Vej 7,2450 København SV,124,3
5353, 1.365.000, Skejbygårdsvej 20,8240 Risskov,48,2
5354, 1.495.000, Schleppegrellsgade 82,9000 Aalborg,58,2
5355, 1.495.000, Færøgade 57,9000 Aalborg,67,2
5356, 1.545.000, Bondegade 10,3700 Rønne,100,4
5357, 1.795.000, Islandsgade 12,9000 Aalborg,85,3
5358, 1.799.000, Schleppegrellsgade 28,8000 Aarhus C,40,2
5359, 1.850.000, Usserød Kongevej 35B,2970 Hørsholm,60,2
5360, 2.050.000, Gladsaxevej 105,2860 Søborg,60,2
5361, 2.125.000, Sabroesvej 7A,3000 Helsingør,84,3
5362, 2.195.000, Buddingevej 244C,2860 Søborg,56,3
5363, 2.795.000, Wæbersvej 14,4000 Roskilde,88,3
5364, 3.395.000, Prinsessegade 2B,1422 København K,51,2
5365, 4.098.000, Nørre Allé 100,8000 Aarhus C,98,4
5366, 4.195.000, Kildegårdsvej 10,2900 Hellerup,87,4
5367, 4.495.000, Glasvej 31,2400 København NV,78,3
5368, 5.495.000, Mikkelborg Park 16,2970 Hørsholm,111,4
5369, 5.695.000, Klaregade 37,5000 Odense C,172,6
5370, 5.995.000, Søndre Badevej 6C,4600 Køge,141,4
5371, 7.798.000, Blegdamsvej 8,2200 København N,127,5
5372, 9.995.000, Sankt Annæ Plads 19A,1250 København K,122,3
5373, 16.995.000, Strandgade 24A 2 ,1401 København K,214,5
5374, 1.695.000, Thorkildsgade 3 st ,5000 Odense C,69,3
5375, 4.998.000, Thad Jones Vej 8,2450 København SV,99,3
5376, 795.000, Arnakkegårds Alle 11G,4390 Vipperød,58,2
5377, 925.000, Willemoesgade 48 2 th ,6700 Esbjerg,57,2
5378, 1.295.000, Rundhøj Allé 112,8270 Højbjerg,52,2
5379, 1.395.000, Snerlevej 26,3000 Helsingør,58,2
5380, 1.600.000, Kantorvænget 2,8240 Risskov,55,2
5381, 1.725.000, Fredericiagade 17R 2 ,9000 Aalborg,73,2
5382, 1.795.000, Teglgårdsvej 353A ,3050 Humlebæk,74,3
5383, 1.998.000, Ved Stranden 17 3 tv ,9000 Aalborg,116,4
5384, 1.998.000, Brøndbyvestervej 20,2600 Glostrup,72,2
5385, 1.999.000, Julsøvej 268 ,8240 Risskov,70,3
5386, 2.295.000, Snerlevej 40,3000 Helsingør,97,4
5387, 2.325.000, Stigsborg Brygge 143 2 mf ,9400 Nørresundby,80,2
5388, 2.495.000, Tinghøjvej 40,2860 Søborg,58,2
5389, 2.575.000, Saven B 1 2 3 ,2630 Taastrup,120,4
5390, 2.695.000, Emiliehøj 11,8270 Højbjerg,117,3
5391, 3.200.000, Søtorvet 16,8600 Silkeborg,94,3
5392, 4.095.000, Skansehøj 8 2 th ,9400 Nørresundby,119,3
5393, 4.295.000, Nørrebakken 3,3070 Snekkersten,116,3
5394, 8.495.000, Brejning Strand 1E,7080 Børkop,217,4
5395, 450.000, Elmevej 6,7600 Struer,105,4
5396, 654.000, Dr. Holsts Vej 46,8230 Åbyhøj,27,1
5397, 675.000, Gaabensevej 113,4800 Nykøbing F,47,2
5398, 875.000, Fredensgade 22,7800 Skive,81,3
5399, 975.000, Cort Adelers Gade 11,6700 Esbjerg,56,2
5400, 1.095.000, Algade 19,4230 Skælskør,93,3
