,Pris,address,zipcode,m2,rooms,x,y,daycare_distance,train_distance,school_distance,supermarket_distance,hospital_distance,Region
89,749000, Willemoesgade 7,9000 Aalborg,44,1,9.89967926,57.05506038,661.02,914.89,664.37,300.57,1257.92,Nordjylland
90,795000, Kirstinelundsparken 7 ,4930 Maribo,60,2,11.51132543,54.7759385,607.82,1409.96,306.71,317.66,1425.18,Sjælland
91,950000, Ægirsvej 17,8920 Randers NV,92,4,10.01503438,56.47716908,697.84,2737.99,1196.78,561.67,3316.29,Midtjylland
92,955000, Østergade 40,8700 Horsens,52,2,9.85183156,55.86775272,150.36,2481.92,356.25,760.02,2266.99,Midtjylland
93,998000, Kastetvej 15B,9000 Aalborg,48,2,9.90928424,57.05224107,166.39,442.08,235.16,408.91,534.35,Nordjylland
94,998000, Strubjerg 22,9400 Nørresundby,80,3,9.91792389,57.07263002,340.25,1522.02,1022.82,739.34,3907.8,Nordjylland
95,999000, Willemoesgade 7,9000 Aalborg,65,2,9.89967926,57.05506038,661.02,914.89,664.37,300.57,1257.92,Nordjylland
96,1195000, Brunevang 92,2610 Rødovre,45,1,12.45133688,55.70595125,901.98,7449.1,669.58,368.49,4731.78,Hovedstaden
97,1250000, Bragesvej 25,3000 Helsingør,40,2,12.59571387,56.03646723,499.83,1315.84,859.31,914.94,1438.77,Hovedstaden
98,1295000, Strubjerg 29,9400 Nørresundby,84,3,9.91978706,57.07136132,296.7,1527.97,1003.28,550.9,3617.87,Nordjylland
99,1299000, Strubjerg 11,9400 Nørresundby,98,4,9.91792468,57.07183351,382.05,1430.02,951.12,715.74,3773.51,Nordjylland
100,1345000, Jernbanegade 18,9000 Aalborg,53,2,9.91567998,57.04634858,710.03,470.95,830.81,260.03,693.11,Nordjylland
101,1495000, Nyvangsvej 10,5000 Odense C,60,2,10.39933437,55.40715416,239.44,1496.73,757.26,588.68,4895.28,Syddanmark
102,1495000, Hadsundvej 86H,9000 Aalborg,88,4,9.9530395,57.03594493,355.52,2799.03,459.03,278.02,3393.91,Nordjylland
103,1498000, Snerlevej 15,9000 Aalborg,110,4,9.90621339,57.03316871,553.64,2016.04,972.35,356.07,1126.48,Nordjylland
104,1500000, Banegårdsplads 5B ,8382 Hinnerup,81,2,10.06041903,56.26291362,841.64,36.44,875.08,296.09,11954.96,Midtjylland
105,1595000, Willemoesgade 7 2 th ,9000 Aalborg,84,3,9.89967926,57.05506038,661.02,914.89,664.37,300.57,1257.92,Nordjylland
106,1648000, Ålekistevej 53,2720 Vanløse,40,1,12.4842237,55.68086386,245.84,3113.76,320.59,53.99,3138.26,Hovedstaden
107,1699000, Rebæk Søpark 3,2650 Hvidovre,61,2,12.45725527,55.66349042,331.9,5114.45,853.33,295.34,3509.07,Hovedstaden
108,1700000, Havnegade 19B 3 ,3600 Frederikssund,119,0,12.05795562,55.83912365,698.39,12271.44,494.82,150.26,2878.67,Hovedstaden
109,1750000, Kantorparken 8,8240 Risskov,68,3,10.20923384,56.19659143,642.46,6393.81,929.36,624.79,2887.85,Midtjylland
110,1750000, Kildebakkegårds Alle 84,2860 Søborg,44,2,12.51111768,55.74188655,395.91,3721.54,529.22,503.1,2639.27,Hovedstaden
111,1798000, Blomsterlunden 63,8381 Tilst,59,3,10.1268793,56.18765491,1155.18,7157.52,1300.88,1736.27,4994.53,Midtjylland
112,1850000, Hovedvejen 146,2600 Glostrup,68,2,12.39184294,55.6660282,197.99,917.32,321.14,227.66,1458.6,Hovedstaden
113,1895000, Jansvej 1,2300 København S,43,2,12.61707276,55.6469749,150.07,2708.46,51.32,195.32,1273.13,Hovedstaden
114,2150000, Marselis Boulevard 134,8000 Aarhus C,52,2,10.18056868,56.1396762,334.87,2386.38,1158.29,233.87,7646.6,Midtjylland
115,2300000, Pærevangen 7,2765 Smørum,56,2,12.31318936,55.74364999,548.94,13991.81,577.04,1025.74,10466.55,Hovedstaden
116,2445000, Østerbæksvej 18,5230 Odense M,81,2,10.39837568,55.38358874,188.6,2225.43,441.37,396.58,2748.78,Syddanmark
117,2495000, Taastrup Hovedgade 111A,2630 Taastrup,68,3,12.29987109,55.64781286,453.05,2431.81,459.6,471.67,7558.1,Hovedstaden
118,2500000, Skaffervej 11 st th ,2400 København NV,56,2,12.53325459,55.70594391,152.14,3815.82,420.53,265.72,1199.25,Hovedstaden
119,2595000, Elmelyparken 7B,2680 Solrød Strand,99,3,12.21148247,55.53420278,719.69,7171.4,867.28,381.17,11824.31,Hovedstaden
120,2695000, A.Andersens Vej 1A ,8600 Silkeborg,180,5,9.58103455,56.19021868,275.57,4528.07,1338.14,279.14,3550.9,Midtjylland
121,2695000, Dybbølsgade 11,1721 København V,61,2,12.55716219,55.66538624,351.23,1248.68,354.11,380.45,4251.25,Hovedstaden
122,2795000, Englandsvej 14,2300 København S,58,3,12.60558363,55.6573594,300.54,3355.08,605.7,162.65,1331.14,Hovedstaden
123,2795000, Ålandsgade 3,2300 København S,49,2,12.60469743,55.66440392,132.81,3113.31,142.34,316.82,1680.05,Hovedstaden
124,2850000, Himmerlandsvej 31,2720 Vanløse,70,4,12.50892363,55.69372892,184.93,4403.57,519.32,174.41,1576.17,Hovedstaden
125,2895000, Nordborggade 38,8000 Aarhus C,77,3,10.18485009,56.14626649,413.63,1789.98,408.0,567.38,6671.48,Midtjylland
126,2995000, Stengade 26C,3000 Helsingør,147,4,12.61036032,56.03325555,59.81,772.43,805.2,191.51,480.55,Hovedstaden
127,3150000, Søllerød Park 4,2840 Holte,88,3,12.50592181,55.80929778,402.21,1769.42,511.28,269.88,11742.81,Hovedstaden
128,3195000, Nordre Frihavnsgade 100A,2100 København Ø,57,2,12.58980805,55.70349964,351.34,1615.89,259.18,339.65,2077.06,Hovedstaden
129,3295000, Østerdalsgade 5,2300 København S,74,3,12.60255002,55.65514486,166.38,3020.31,410.14,319.52,1999.47,Hovedstaden
130,3298000, Sølystgade 53,8000 Aarhus C,74,3,10.20417089,56.16175488,230.13,1861.14,175.95,342.16,4936.25,Midtjylland
131,3395000, Ægirsgade 18,2200 København N,70,3,12.54586385,55.69878281,131.08,2659.95,397.38,364.68,2122.86,Hovedstaden
132,3395000, Godsbanegade 7,1722 København V,55,2,12.55438402,55.66660283,102.61,1590.95,367.09,310.12,4002.62,Hovedstaden
133,3450000, Åhusene 9,8000 Aarhus C,69,3,10.18724929,56.15282081,485.63,1946.59,1418.22,209.44,6004.01,Midtjylland
134,3450000, Harald Jensens Plads 17,8000 Aarhus C,93,3,10.18864701,56.14298178,561.42,1492.4,552.62,357.5,6750.91,Midtjylland
