new_index,Pris,address,zipcode,m2,rooms,x,y,daycare_distance,train_distance,school_distance,supermarket_distance,hospital_distance
2958, 3.498.000kr. , Kaserneboulevarden 21,8000 Aarhus C,78,3,10.19925978,56.16466449,170.37,2069.87,388.94,415.19,4379.59
2959, 3.498.000kr. , Grønningen 1,8000 Aarhus C,75,3,10.20027961,56.16009448,325.21,1605.28,368.38,293.98,5028.29
2960, 3.850.000kr. , Victor Bendix Gade 22,2100 København Ø,84,3,12.56658314,55.71226054,203.04,3058.16,495.09,315.82,2955.89
2961, 3.995.000kr. , Holmbladsgade 79,2300 København S,88,3,12.61258228,55.66644696,275.81,3580.74,197.28,317.89,1513.72
2962, 4.000.000kr. , Smøgen 14 ,3480 Fredensborg,123,3,12.39774584,55.97892945,622.62,834.98,1045.57,451.15,9565.59
2963, 4.295.000kr. , Sorgenfrigade 8E 2 4 ,2200 København N,80,2,12.54511662,55.69600998,200.73,2359.05,562.04,118.1,1758.79
2964, 4.298.000kr. , Jyllingevej 4,2720 Vanløse,94,3,12.49323605,55.69383028,268.63,4573.34,615.51,63.79,2744.2
2965, 4.298.000kr. , Ceres Allé 7,8000 Aarhus C,103,3,10.19121785,56.15459149,502.27,2101.45,1262.75,700.0,5856.26
2966, 4.595.000kr. , Strandvang 20B ,4000 Roskilde,143,4,11.94166666,55.64659826,1482.25,5963.53,2811.74,1081.5,11738.53
2967, 4.695.000kr. , Kong Georgs Vej 4,2000 Frederiksberg,85,3,12.53969445,55.68704032,224.08,2738.95,621.08,199.47,1639.27
2968, 4.695.000kr. , Sommerstedgade 23,1718 København V,78,3,12.55684653,55.66601646,330.63,1325.78,404.21,347.25,4265.05
2969, 4.800.000kr. , Landlystvej 15,2500 Valby,130,5,12.48004418,55.66053828,415.11,2591.75,344.62,351.59,2624.9
2970, 4.895.000kr. , Øresundsvej 138T 1 tv ,2300 København S,87,3,12.62605952,55.66100232,204.82,4602.91,662.89,546.06,1310.9
2971, 4.995.000kr. , Husumgade 10,2200 København N,86,3,12.54600822,55.69307189,342.12,2359.36,465.98,396.77,1759.1
2972, 5.245.000kr. , Engvej 40,2791 Dragør,105,4,12.66034787,55.58688,797.65,7571.12,1074.85,1001.93,11323.63
2973, 5.595.000kr. , Glasvej 27,2400 København NV,112,4,12.53135657,55.7050816,363.46,3793.54,436.55,318.84,1343.36
2974, 5.795.000kr. , Ben Websters Vej 140,2450 København SV,86,3,12.55324694,55.64589473,446.33,3075.73,544.61,403.09,6677.67
2975, 5.800.000kr. , Strandlodsvej 25G,2300 København S,102,4,12.62452652,55.66575136,253.02,4535.19,331.82,364.73,1809.03
2976, 5.995.000kr. , Esther Aggebos Gade 16,8000 Aarhus C,177,4,10.22622679,56.16666665,1063.2,2639.85,1416.55,904.8,6286.67
2977, 5.995.000kr. , Porcelænshaven 8,2000 Frederiksberg,87,3,12.52331441,55.67852076,156.76,1960.55,364.47,445.98,1195.11
2978, 6.500.000kr. , Åbenrå 31B ,1124 København K,80,3,12.57520156,55.68331222,179.65,668.61,508.72,230.29,2120.37
2979, 6.595.000kr. , Hostrupsvej 12,1950 Frederiksberg C,104,4,12.53660992,55.68160763,394.2,2570.74,434.73,222.21,1233.61
